,,,Basic Facts,,,,,Vitamins,,,,,,,,,,,,,,,,Healthy Fats,,,,,,Minerals,,,,,,,,,,,Phytonutrients,,,,,,AA and Peps,
Item,Category,Serving Size,Cals,Protein,Fats,Carbs,Fiber,Vit A,Vit B1,Vit B2,Vit B3,Vit B5,Vit B6,Vit B7,Vit B9,Vit B12,Vit C,Vit D,Vit E,Vit K,Choline,Myo-Inositol,CoQ10,MUFA,ALA,EPA+DHA,CLA,Lin Acid,MCTs,Ca,Cu,Io,Fe,Mg,Mn,P,K,Se,Na,Zn,Carotenoids,Polyphenols,Phytosterols,Glucosinolates,Thiosulfinates,Betalains,Taurine,Ergothionine
"Grapefruit, pink and red, raw",Fruit,1 cup or 1 medium (230 grams),97,1.8,0.3,20.8,3.7,15%,8%,5%,3%,12%,7%,23%,7%,0%,80%,0%,2%,0%,3%,457.7 mg,0.3 mg,0.0 g,18.4 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,4%,8%,0%,1%,5%,2%,3%,7%,0%,0%,1%,4873.7 μg,354.2 mg,41.4 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Green kiwi, raw",Fruit,"1 cup, sliced (180 grams)",110,2.1,0.9,21,5.4,1%,4%,3%,4%,7%,7%,8%,11%,0%,185%,0%,19%,60%,3%,244.8 mg,0.1 mg,0.1 g,75.6 mg,0.0 mg,0.0 mg,0.4 g,0.0 g,5%,26%,0%,3%,7%,8%,5%,12%,1%,0%,2%,313.2 μg,500.4 mg,32.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.1 mg
"Golden kiwi, raw",Fruit,"1 cup, sliced (180 grams)",113,1.8,0.5,25.9,2.5,0%,0%,10%,3%,4%,8%,8%,14%,6%,323%,0%,18%,9%,1%,244.8 mg,0.1 mg,0.0 g,77.4 mg,0.0 mg,1.8 mg,0.1 g,0.0 g,2%,30%,0%,2%,5%,4%,4%,12%,1%,0%,1%,68.4 μg,500.4 mg,32.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.1 mg
"Pineapple, raw",Fruit,"1 cup, chunks (165 grams)",83,0.9,0.2,21.3,2.3,1%,11%,4%,5%,7%,11%,1%,7%,0%,88%,0%,0%,1%,2%,54.5 mg,0.0 mg,0.0 g,28.1 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,2%,20%,0%,3%,5%,67%,1%,4%,0%,0%,2%,86.8 μg,287.1 mg,28.1 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Pomegranate, raw",Fruit,1 cup arils (174 grams),144,2.9,2,25.6,7,0%,10%,7%,3%,13%,8%,0%,17%,0%,20%,0%,7%,24%,2%,0.0 mg,0.0 mg,0.2 g,0.0 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,31%,0%,3%,5%,9%,5%,9%,2%,0%,6%,0.0 μg,1240.8 mg,8.7 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Pumpkin, raw",Fruit,"1 cup, 1″ cubes (116 grams)",30,1.2,0.1,7,0.6,55%,5%,10%,4%,7%,4%,7%,5%,0%,12%,0%,8%,1%,2%,76.6 mg,0.0 mg,0.0 g,3.5 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,2%,16%,0%,5%,3%,6%,4%,8%,1%,0%,3%,9994.6 μg,182.1 mg,9.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Grapes, raw",Fruit,1 cup (151 grams),104,1.1,0.2,26,1.4,1%,9%,8%,2%,2%,8%,8%,1%,0%,5%,0%,3%,18%,2%,24.2 mg,7.7 mg,0.0 g,16.6 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,21%,0%,3%,3%,5%,2%,6%,0%,0%,1%,169.1 μg,267.1 mg,30.2 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Carrots, raw",Vegetable,1 cup or 2 medium (128 grams),52,1.2,0.3,8.7,3.6,119%,7%,6%,8%,7%,10%,21%,6%,0%,8%,0%,6%,14%,2%,15.4 mg,0.3 mg,0.0 g,2.6 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,3%,6%,0%,2%,4%,8%,4%,9%,0%,4%,3%,15384.3 μg,199.7 mg,24.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Onion, raw",Vegetable,"1 cup, sliced (115 grams)",46,1.3,0.1,8.8,2,0%,4%,2%,1%,3%,8%,13%,5%,0%,9%,0%,0%,0%,1%,50.6 mg,0.1 mg,0.0 g,4.6 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,2%,5%,0%,1%,3%,6%,3%,4%,1%,0%,2%,5.8 μg,208.0 mg,10.7 mg,0.0 mg,7.5 mg,0.0 mg,0.0 mg,0.0 mg
"Sweet potato, raw",Vegetable,"1 cup, cubes (133 grams)",114,2.1,0.1,22.8,4,105%,9%,6%,5%,21%,16%,19%,4%,0%,4%,0%,2%,2%,3%,116.9 mg,0.5 mg,0.0 g,1.3 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,3%,22%,0%,5%,8%,15%,5%,10%,1%,3%,4%,11326.3 μg,98.4 mg,16.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
